track_id,upvotes,downvotes
7zgqtptZvhf8GEmdsM2vp2,0,0
4Vxu50qVrQcycjRyJQaZLC,0,0
6b8Be6ljOzmkOmFslEb23P,0,0
0afhq8XCExXpqazXczTSve,0,0
1HNkqx9Ahdgi1Ixy2xkKkL,0,0
0ofbQMrRDsUaVKq2mGLEAb,0,0
0nJW01T7XtvILxQgC5J7Wh,0,0
6C2PfemHQul77DVpnvuAIs,0,0
3PGdPUMdUg7a3Tgr5gkfKK,0,0
34gCuhDGsG4bRPIf9bb02f,0,0
3528IXKpbb7OMjdjWYlbfD,0,0
7AEAGTc8cReDqcbPoY9gwo,0,0
273dCMFseLcVsoSWx59IoE,0,0
1X1DWw2pcNZ8zSub3uhlNz,0,0
1LmN9SSHISbtp9LoaR5ZVJ,0,0
2iuZJX9X9P0GKaE93xcPjk,0,0
0JcKdUGNR7zI4jJDLyYXbi,0,0
0KKkJNfGyhkQ5aFogxQAPU,0,0
2Bs4jQEGMycglOfWPBqrVG,0,0
72Q0FQQo32KJloivv5xge2,0,0
59HjlYCeBsxdI0fcm3zglw,0,0
5Z3GHaZ6ec9bsiI5BenrbY,0,0
1D1nixOVWOxvNfWi0UD7VX,0,0
3zSCNTXI7Ed0PiidZVmzIe,0,0
5tVA6TkbaAH9QMITTQRrNv,0,0
3yrSvpt2l1xhsV9Em88Pul,0,0
4fINc8dnfcz7AdhFYVA4i7,0,0
0KpfYajJVVGgQ32Dby7e9i,0,0
6QgjcU0zLnzq5OrUoSZ3OK,0,0
7BKLCZ1jbUBVqRi2FVlTVw,0,0
1WkMMavIMc4JZ8cfMmxHkI,0,0
2q4rjDy9WhaN3o9MvDbO21,0,0
32OlwWuMpZ6b0aN2RZOeMS,0,0
1p80LdxRV74UKvL8gnD7ky,0,0
7LcfRTgAVTs5pQGEQgUEzN,0,0
6F5c58TMEs1byxUstkzVeM,0,0
7Cp69rNBwU0gaFT8zxExlE,0,0
3GCL1PydwsLodcpv0Ll1ch,0,0
0kYUrLVQOfx21xuXu7OGrT,0,0
72jCZdH0Lhg93z6Z4hBjgj,0,0
76hfruVvmfQbw0eYn1nmeC,0,0
3TGRqZ0a2l1LRblBkJoaDx,0,0
3bIxTsfeNMO7Nt2J3EUKrA,0,0
6tS3XVuOyu10897O3ae7bi,0,0
6qnM0XXPZOINWA778uNqQ9,0,0
15DeqWWQB4dcEWzJg15VrN,0,0
1vrd6UOGamcKNGnSHJQlSt,0,0
4WXzzCof26KJLTK5kK53dS,0,0
1fo2ctLqj3zBhRQKOXprol,0,0
5xTtaWoae3wi06K5WfVUUH,0,0
5yEPktRqvIhko5QFF3aBhQ,0,0
0CLnkxpa3M4eA3HeGaERat,0,0
7zMcNqs55Mxer82bvZFkpg,0,0
3U4isOIWM3VvDubwSI3y7a,0,0
6GmUVqe73u5YRfUUynZK6I,0,0
5Db9VIdDsN5yu3Eu7CT0i4,0,0
1VdZ0vKfR5jneCmWIUAMxK,0,0
1jYiIOC5d6soxkJP81fxq2,0,0
4lCv7b86sLynZbXhfScfm2,0,0
0tgVpDi06FyKpA1z0VMD4v,0,0
4B0JvthVoAAuygILe3n4Bs,0,0
3Du2K5dLzmduCNp6uwuaL0,0,0
6D60klaHqbCl9ySc8VcRss,0,0
2dWgzqawzDkBL8QfZw92Ub,0,0
3IPkbTA8KkdDXyWtGkfFXa,0,0
6zLdXcmvIxnAXpz9sXFnIE,0,0
2Nc8Imt04W3ZmcBF8dPQKc,0,0
6znSbsDDFdBZaiucjUGaWy,0,0
30MM5jWpUmOxtTNd9Ey5LZ,0,0
2n5ZD87XQ2yvIxGjoYbUmZ,0,0
0kdiUZDcLIFw0Buo9r0Q4z,0,0
6UsoV6X96Rox9mfxoz7SFy,0,0
1mJMD1VIQ7jWTP9DK2zmY0,0,0
3T6MAweakkNrMYs8jZIWtg,0,0
1KTLLe980WR4RLKg74Ud6e,0,0
7iDa6hUg2VgEL1o1HjmfBn,0,0
4oeGQb7zAVNRkpjjoNHK5K,0,0
0OWZFobGSIW9GrSlQ9C5pc,0,0
7zVCrzzEJU7u24sbJPXA5W,0,0
3I7krC8kr0gFR7P6vInR1I,0,0
5Zx1zVpDJsNgyY3HvNfsfC,0,0
6OUdBkpAQtKyZ74cKukZ9W,0,0
7LP4Es66zdY7CyjepqmvAg,0,0
2PpruBYCo4H7WOBJ7Q2EwM,0,0
6WLS56xiRrXjSm9RSdL3zD,0,0
1MtUq6Wp1eQ8PC6BbPCj8P,0,0
2vwlzO0Qp8kfEtzTsCXfyE,0,0
3DmW6y7wTEYHJZlLo1r6XJ,0,0
12GEpg2XOPyqk03JZEZnJs,0,0
5KONnBIQ9LqCxyeSPin26k,0,0
6Iocm6VMu6bVNYwiDoyQFW,0,0
5knuzwU65gJK7IF5yJsuaW,0,0
6epn3r7S14KUqlReYr77hA,0,0
49FYlytm3dAAraYgpoJZux,0,0
5vlEg2fT4cFWAqU5QptIpQ,0,0
1DqdF42leyFIzqNDv9CjId,0,0
4vp2J1l5RD4gMZwGFLfRAu,0,0
67WTwafOMgegV6ABnBQxcE,0,0
5IMtdHjJ1OtkxbGe4zfUxQ,0,0
1LeWIs2hP2r5yOQnVuYoI5,0,0
5YTtTbqxUzJHD3CpbNHerP,0,0
6l7tK5SsMlN8a9ccgeIkpS,0,0
4W4wYHtsrgDiivRASVOINL,0,0
05wIrZSwuaVWhcv5FfqeH0,0,0
7yq4Qj7cqayVTp3FF9CWbm,0,0
2nXM8IVqKtyO6JKsLlXWAy,0,0
3HRQtRUYnnuZY7fE900XtJ,0,0
22c2pt75xtnDddA5Zlm0yy,0,0
5R9a4t5t5O0IsznsrKPVro,0,0
7ksYJ95P5vP87A0GH34CIk,0,0
03oZejWqXLbKhhM4iTgShq,0,0
